date_sunday,Geography,lowespos.pos_qty,lowespos.sales_lowes_bw,rtop_instapost_o.impressions,rtop_instapost_o.engagement,rtop_instapost_o.likes,rtop_instapost_o.comments,rtop_instapost_o.direct_message,rtop_instapost_o.saves,rtop_instapost_o.views,rtop_instapost_o.hashtags,rtop_instapost_o.follows,rtop_instastory_o.impressions,rtop_instastory_o.clicks,rtop_instastory_o.interactions,rtop_twitterpost_o.impressions,rtop_twitterpost_o.engagement,rtop_twitterpost_o.likes,rtop_twitterpost_o.replies,rtop_twitterpost_o.retweets,rtop_twitterpost_o.clicks,rtop_twitterpost_o.views,rtop_fbpost_o.impressions,rtop_fbpost_o.engagements,rtop_fbpost_o.likes,rtop_fbpost_o.comments,rtop_fbpost_o.shares,rtop_fbpost_o.clicks,rtop_fbpost_o.video_views,fbadman_fbads_p.impressions,fbadman_fbads_p.reach,fbadman_fbads_p.amount_spent_usd,fbadman_fbads_p.clicks,fbadman_fbads_p.landing_page_views,merkle_email_p.n_sent,merkle_email_p.n_clicks,merkle_email_p.n_unsub,merkle_email_p.n_bounces,merkle_email_p.n_opens,GA_search_p.newUsers,GA_search_p.organicSearches,GA_search_p.sessions,GA_search_p.hits,GA_search_p.impressions,GA_search_p.adClicks,GA_search_p.adCost,GA_search_p.bounceRate,lowes_comaek_p.BANNER AD ON CATEGORY PAGE_impr,lowes_comaek_p.BANNER AD ON LOWES.COM_impr,lowes_comaek_p.BANNER AD ON LOWESFORPROS.COM_impr,lowes_comaek_p.CATEGORY BANNER AD ON LOWES.COM_impr,lowes_comaek_p.CATEGORY LEVEL SEARCH_impr,lowes_comaek_p.CATEGORY TEXT_impr,lowes_comaek_p.DIGITAL RETARGETING_impr,lowes_comaek_p.DISPLAY_impr,lowes_comaek_p.DISPLAY RETARGETING_impr,lowes_comaek_p.DIY EMAIL_impr,lowes_comaek_p.DIY RADIO_impr,lowes_comaek_p.EMAIL_impr,lowes_comaek_p.EVENT SIGNAGE_impr,lowes_comaek_p.FLIPP_impr,lowes_comaek_p.HOME PAGE BANNER AD ON LOWESFORPROS.COM_impr,lowes_comaek_p.PRO EMAIL_impr,lowes_comaek_p.PRO RADIO_impr,lowes_comaek_p.SEARCH_impr,lowes_comaek_p.SHOPPING SEARCH ADS_impr,lowes_comaek_p.SOCIAL_impr,lowes_comaek_p.STREAMING AUDIO_impr,lowes_comaek_p.TAB_impr,corp_gum_social.views,corp_gum_social.engagements,corp_gum_broadcast.exposures,corp_gum_broadcast.duration,corp_mlb_broadcast.exposures,corp_mlb_social.total_likes,corp_mlb_social.total_comments,corp_mlb_social.total_shares,ext.avg_weekly_wage_rate,ext.inflation_rate_All_Urban_Consumers_Chained_CPI,ext.no_of_holidays,ext.Active_covid_cases,ext.Confirmed_covid_cases,ext.covid_Deaths,ext.covid_Recoveries,lowes_prom.rsa_nlp,lowes_prom.rsa_bogo,lowes_prom.rsa_dotd,lowes_prom.rsa_spv,lowes_prom.rsa_other,lowes_prom.rsa_pcr,lowes_prom.rsa_blanket,lowes_prom.rsa_rsa,unempl_rate,rtop_instapost_o.impressions_adstock,rtop_twitterpost_o.impressions_adstock,rtop_instapost_o.impressions_saturated,rtop_twitterpost_o.impressions_saturated,rtop_instapost_o.impressions_lag1,rtop_instapost_o.impressions_lag2,rtop_twitterpost_o.impressions_lag1,rtop_twitterpost_o.impressions_lag2
14-07-2019,Europe,520103.0,12206066.99,0.5782976320556064,6541,5986,145,104,306,7564,5096,69,91718,84,364,0.2363459314755098,480,100,13,15,3,0,31598,131,108,17,6,0,5964,2580994,1661918,12987.99,34273,26503,799525,32365,338,4782,114528,114296,45596,156432,547085,78954,6848,5336.91,0.475639344,0,0.0,0,0,0,0,1038461.538,0.0,0,0.0,0,0,0.0,0,0,0,31900000,0.0,0,0,0.0,0,10298390.0,80874.33333,0,0,1701,0,0,0,1017.0,0.115083574,0,0,0,0,0,475935.3995,3744.409091,0.0,0.0,30850.60142,430595.4695,692.3076923,0.0,3.6,366053.5501992204,740116.9395245168,605.0235947458747,860.3004937372272,103225.0,183902.0,162405.0,1473851.0
21-07-2019,North America,555165.0,13662161.13,-0.18800437898834685,6193,5641,70,216,266,0,8726,113,0,0,0,-0.0863572500978438,199,25,1,5,2,0,116719,898,717,117,64,716,0,2238918,1639107,9936.01,34938,27748,10329,6297,150,351,24130,99331,45825,133004,468770,79959,7623,5941.7,0.45810923,0,0.0,0,0,0,0,1038461.538,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,46418.0,2881.0,0,0,1193,0,0,0,1017.0,0.115083574,0,0,0,0,0,468495.3995,3744.409091,0.0,0.0,30850.60142,430595.4695,692.3076923,0.0,3.6,345135.13011953223,474514.1637147101,587.4820253586762,688.8498847460962,169785.0,103225.0,79342.0,162405.0
28-07-2019,South America,564806.0,13815768.1,-0.2686285845222834,4145,3941,54,22,128,28091,1522,21,0,0,0,-0.08345346262407646,373,65,0,6,4,3434,0,0,0,0,0,0,0,1437554,1133714,6080.23,20310,14780,333637,8965,205,1198,69773,80137,43417,109600,371959,38811,4427,2637.79,0.50475763,0,0.0,0,0,0,0,1038461.538,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,38361.0,2171.0,0,0,1777,0,0,0,1017.0,0.115083574,0,0,0,0,0,476021.938,9434.13986,0.0,0.0,76035.14125,517443.259,692.3076923,8469.415385,3.6,327925.0780717193,315592.49822882604,572.6474291147384,561.7761994147011,125503.0,169785.0,30444.0,79342.0
08-04-2019,Africa,598730.0,14146151.26,-1.1823176654379983,2215,2129,17,33,36,0,1106,13,22821,233,266,-0.24429029108585815,234,37,0,3,1,0,57020,238,204,30,4,0,0,1146036,885335,6084.71,15835,10704,335745,10706,229,882,64825,78776,43493,108328,392159,37169,5613,2308.35,0.483032767,0,0.0,0,0,0,0,353846.1538,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,34926.0,1088.0,0,0,3306,0,0,0,1017.0,-0.01454203,0,0,0,0,0,7526.538462,9434.13986,0.0,0.0,67306.95988,168659.3963,0.0,14055.41538,3.7,264800.0468430316,195868.4989372956,514.5872587258954,442.57033219285677,120844.0,125503.0,30884.0,30444.0
08-11-2019,Asia,636772.0,14648906.51,0.031371678868213244,4610,4399,73,47,91,0,3379,18,12936,38,67,-0.16043682826384026,622,93,9,10,8,0,75167,403,297,77,29,54,0,1187203,588920,5038.48,5593,1872,340510,13329,196,895,71669,73339,45307,103490,426922,37079,5976,2046.6,0.433092991,0,0.0,0,0,0,0,353846.1538,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,177688.0,9775.0,0,0,3291,0,0,0,1017.0,-0.01454203,0,0,0,0,0,7526.538462,9434.13986,0.0,0.0,67966.30533,168659.3963,0.0,14055.41538,3.6,297060.02810581896,136740.09936237737,545.0321349295094,369.78385492389657,68045.0,120844.0,6513.0,30884.0
18-08-2019,Europe,629611.0,14573773.67,-0.053838363640716466,4483,4176,49,42,216,0,2814,15,0,0,0,-0.1869800855808681,351,82,0,8,7,792,0,0,0,0,0,0,0,1310395,700033,5414.24,6650,2844,342497,9015,209,946,67363,73433,46130,103129,445628,45596,7525,2902.92,0.425890004,0,0.0,0,0,0,0,353846.1538,0.0,0,0.0,85000000,0,0.0,0,0,0,0,0.0,0,0,0.0,0,27203.0,2972.0,0,0,4106,0,0,0,1017.0,-0.01454203,0,0,0,0,0,7526.538462,9434.13986,0.0,0.0,70503.80533,236534.3963,0.0,14055.41538,3.7,311492.0168634914,97241.05961742642,558.114698662821,311.8349878019245,138180.0,68045.0,19219.0,6513.0
25-08-2019,North America,648253.0,14561031.12,0.7478870749044104,9551,8262,159,693,437,0,3618,17,72093,428,779,-0.23121004841993342,501,57,3,5,79,0,224743,2476,1847,331,298,636,0,1439127,805474,6767.69,7663,3502,346333,9648,191,810,65267,76010,46841,104564,331178,35623,6876,1774.92,0.50515266,0,87500.0,0,0,0,0,353846.1538,0.0,0,17000000.0,0,0,8600000.0,0,0,0,0,0.0,0,0,0.0,41900000,71365.0,1365.0,0,0,641,0,0,0,1017.0,-0.01454203,0,0,0,0,0,7526.538462,9434.13986,0.0,105000.0,93923.24977,236534.3963,0.0,14055.41538,3.7,366480.2101180948,66839.63577045585,605.3760898136751,258.5336259956446,133256.0,138180.0,15197.0,19219.0
09-01-2019,South America,659324.0,15028278.15,0.3528994184733948,4182,4003,68,19,92,12606,2881,16,16699,40,62,-0.025021339231494497,1015,326,4,44,6,693,75212,505,390,86,29,28,2843,0,0,0.0,0,0,345339,10412,194,1052,68214,76969,47339,105443,327049,30673,6369,1450.54,0.511690906,0,87500.0,0,0,0,0,353846.1538,0.0,0,0.0,0,0,8600000.0,0,0,0,0,0.0,0,0,0.0,0,395197.0,13885.0,0,0,3337,0,0,0,1017.0,0.027703133,1,0,0,0,0,7526.538462,9434.13986,0.0,210000.0,206921.3748,271915.3487,0.0,14055.41538,4.0,376648.1260708569,79841.7814622735,613.7166496607834,282.5628805456823,179585.0,133256.0,8495.0,15197.0
09-08-2019,Africa,647974.0,14567520.25,0.49384901153497734,6248,5879,63,85,221,11957,3851,41,39752,251,306,-0.193698393872448,407,99,2,10,32,449,0,0,0,0,0,0,0,1616126,1006196,5385.45,8242,3634,349935,11210,185,797,69417,72457,43757,98688,311267,37770,6751,2178.03,0.510763599,0,0.0,0,0,0,0,353846.1538,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,1918743.0,32574.0,0,0,2357,0,0,0,1017.0,0.027703133,0,0,0,0,0,7526.538462,9434.13986,0.0,210000.0,206883.8748,271915.3487,0.0,14055.41538,3.7,390893.8756425141,62084.0688773641,625.2150635121599,249.16674914073928,156760.0,179585.0,39738.0,8495.0
15-09-2019,Asia,610005.0,12969414.85,0.12265579223836032,5154,4847,64,66,177,0,2037,31,32030,0,189,-0.16988073707056994,452,126,8,12,37,0,56966,243,186,44,13,81,0,1783663,908865,5831.72,8782,4208,325439,8543,184,706,64188,70259,43818,96059,302775,41007,6775,2643.27,0.510770502,0,0.0,0,0,0,0,353846.1538,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,2565803.0,87570.16667,48,408,14023,0,0,0,1017.0,0.027703133,0,0,0,0,0,7526.538462,9434.13986,0.0,105000.0,212002.8748,333317.6043,0.0,14055.41538,3.5,377991.3253855085,55038.44132641846,614.8099912863391,234.6027308588254,164905.0,156760.0,14179.0,39738.0
